projectName,loc,fixDurationDays,buildIdFail,teamSize,dateFail,buildIdFix,dateFix,participationRate
flori/json,3301,10,124630,4,02/09/2011 22:00:00,154223,12/09/2011 22:00:00,2.5
flori/json,3301,0,196988,4,30/09/2011 22:00:00,196998,30/09/2011 22:00:00,0
flori/json,3301,1,197028,4,30/09/2011 22:00:00,199255,01/10/2011 22:00:00,0.25
flori/json,3301,0,333591,3,22/11/2011 23:00:00,333641,22/11/2011 23:00:00,0
flori/json,3358,0,429161,2,19/12/2011 23:00:00,429453,19/12/2011 23:00:00,0
flori/json,3364,90,658149,2,09/02/2012 23:00:00,1309702,10/05/2012 22:00:00,45
flori/json,3380,55,1498064,2,31/05/2012 22:00:00,1957246,25/07/2012 22:00:00,27.5
flori/json,3380,9,2070360,3,07/08/2012 22:00:00,2149676,16/08/2012 22:00:00,3
flori/json,3397,44,2167972,3,18/08/2012 22:00:00,2637259,01/10/2012 22:00:00,14.66667
flori/json,3380,0,3417864,3,28/11/2012 23:00:00,3418111,28/11/2012 23:00:00,0
flori/json,3301,0,4727872,2,10/02/2013 23:00:00,4729389,10/02/2013 23:00:00,0
flori/json,3398,0,4971654,2,21/02/2013 23:00:00,4972282,21/02/2013 23:00:00,0
flori/json,3396,0,7116738,3,12/05/2013 22:00:00,7116822,12/05/2013 22:00:00,0
flori/json,3398,26,11640496,2,20/09/2013 22:00:00,11688101,16/10/2013 22:00:00,13
flori/json,3398,16,12004951,3,30/09/2013 22:00:00,12654266,16/10/2013 22:00:00,5.33333
flori/json,3398,87,16308220,2,02/01/2014 23:00:00,22010048,31/03/2014 22:00:00,43.5
flori/json,3398,46,35779999,2,18/09/2014 22:00:00,39923184,03/11/2014 23:00:00,23
flori/json,3398,0,43271786,2,06/12/2014 23:00:00,43272468,06/12/2014 23:00:00,0
flori/json,3398,6,45728543,2,01/01/2015 23:00:00,46371522,07/01/2015 23:00:00,3
flori/json,3399,67,50583469,2,12/02/2015 23:00:00,59534916,21/04/2015 22:00:00,33.5
flori/json,3399,14,62722483,3,14/05/2015 22:00:00,64589665,28/05/2015 22:00:00,4.66667
flori/json,3378,61,67723606,3,20/06/2015 22:00:00,76627374,20/08/2015 22:00:00,20.33333
flori/json,3402,1,111620810,4,23/02/2016 23:00:00,111712301,24/02/2016 23:00:00,0.25
flori/json,3381,102,111778532,4,24/02/2016 23:00:00,135891605,06/06/2016 22:00:00,25.5
flori/json,3132,0,135902757,4,06/06/2016 22:00:00,135903058,06/06/2016 22:00:00,0
flori/json,3132,4,135911875,4,06/06/2016 22:00:00,136944299,10/06/2016 22:00:00,1
flori/json,3132,0,139133430,4,20/06/2016 22:00:00,139193873,20/06/2016 22:00:00,0
ktoso/maven-git-commit-id-plugin,330,239,443609,4,23/12/2011 23:00:00,2182720,19/08/2012 22:00:00,59.75
ktoso/maven-git-commit-id-plugin,946,0,2235052,5,24/08/2012 22:00:00,2235419,24/08/2012 22:00:00,0
ktoso/maven-git-commit-id-plugin,954,0,2245088,5,25/08/2012 22:00:00,2245319,25/08/2012 22:00:00,0
ktoso/maven-git-commit-id-plugin,1054,0,4124104,4,12/01/2013 23:00:00,4126407,12/01/2013 23:00:00,0
ktoso/maven-git-commit-id-plugin,1207,0,8481498,4,25/06/2013 22:00:00,8482565,25/06/2013 22:00:00,0
ktoso/maven-git-commit-id-plugin,1213,1,8988500,4,10/07/2013 22:00:00,8990073,11/07/2013 22:00:00,0.25
ktoso/maven-git-commit-id-plugin,1218,0,14107028,4,16/11/2013 23:00:00,14113524,16/11/2013 23:00:00,0
ktoso/maven-git-commit-id-plugin,1275,0,18510135,4,08/02/2014 23:00:00,18510271,08/02/2014 23:00:00,0
ktoso/maven-git-commit-id-plugin,1504,7,25419807,4,16/05/2014 22:00:00,25960607,23/05/2014 22:00:00,1.75
ktoso/maven-git-commit-id-plugin,1800,0,26533461,4,31/05/2014 22:00:00,26536354,31/05/2014 22:00:00,0
ktoso/maven-git-commit-id-plugin,1869,1,43230840,5,06/12/2014 23:00:00,43301094,07/12/2014 23:00:00,0.2
ktoso/maven-git-commit-id-plugin,1899,6,43947200,5,12/12/2014 23:00:00,44631381,18/12/2014 23:00:00,1.2
ktoso/maven-git-commit-id-plugin,1929,0,53753232,4,09/03/2015 23:00:00,53753599,09/03/2015 23:00:00,0
ktoso/maven-git-commit-id-plugin,2038,0,57379603,4,06/04/2015 22:00:00,57457447,06/04/2015 22:00:00,0
ktoso/maven-git-commit-id-plugin,2089,0,63696185,5,21/05/2015 22:00:00,63696192,21/05/2015 22:00:00,0
ktoso/maven-git-commit-id-plugin,2218,1,65273307,5,02/06/2015 22:00:00,65364109,03/06/2015 22:00:00,0.2
ktoso/maven-git-commit-id-plugin,2218,4,67399676,5,17/06/2015 22:00:00,67855937,21/06/2015 22:00:00,0.8
pulse00/Twig-Eclipse-Plugin,21518,0,447051,1,24/12/2011 23:00:00,447346,24/12/2011 23:00:00,0
pulse00/Twig-Eclipse-Plugin,21518,0,451936,1,26/12/2011 23:00:00,452213,26/12/2011 23:00:00,0
pulse00/Twig-Eclipse-Plugin,18069,0,462224,1,29/12/2011 23:00:00,462263,29/12/2011 23:00:00,0
pulse00/Twig-Eclipse-Plugin,17910,0,462418,1,29/12/2011 23:00:00,462459,29/12/2011 23:00:00,0
pulse00/Twig-Eclipse-Plugin,19789,0,462480,1,29/12/2011 23:00:00,462506,29/12/2011 23:00:00,0
pulse00/Twig-Eclipse-Plugin,22085,2,465473,1,31/12/2011 23:00:00,473022,02/01/2012 23:00:00,2
pulse00/Twig-Eclipse-Plugin,21520,0,473036,1,02/01/2012 23:00:00,473051,02/01/2012 23:00:00,0
pulse00/Twig-Eclipse-Plugin,19125,1,485271,1,05/01/2012 23:00:00,489884,06/01/2012 23:00:00,1
pulse00/Twig-Eclipse-Plugin,20013,0,658094,1,09/02/2012 23:00:00,658414,09/02/2012 23:00:00,0
